k,inertia,silhouette,calinski_harabasz,davies_bouldin,min_cluster_size,min_cluster_pct
2,15355.401075116235,0.21867988222165544,604.3416649634806,1.6515052090948734,916,0.458
3,12490.452643640483,0.22527672777819505,600.3227891913469,1.3282220288453164,42,0.021
4,10362.758928484285,0.2280404101368682,618.7579098387553,1.274469839460123,39,0.0195
5,9048.42929222898,0.22143429048796237,603.6512762708762,1.3017867346068808,39,0.0195
6,8403.467642315534,0.2103391844150709,550.3319940160145,1.3715338087364775,39,0.0195
7,7908.339333046259,0.18491704374211257,507.8748456610995,1.5144712923121573,38,0.019
8,7435.42904676478,0.18534777609672132,480.876774461077,1.4556951629757107,38,0.019
9,7080.398109871841,0.1912167193796899,454.1221934855074,1.4698485528991858,38,0.019
10,6773.010033284926,0.1936185883993449,431.8071926400838,1.482932606801858,38,0.019
