feature_set,scaler,n_features,k,inertia,silhouette,calinski_harabasz,davies_bouldin,min_cluster_size,min_cluster_pct,behavioural_separation,declared_separation,flag_redundancy,actionable,substantive,viable
behaviour_core,standard,6,2,9557.317958921125,0.19274600954906834,510.6535891191071,1.8246463455979098,997,0.4985,0.2035568367565724,0.0006966022501720438,0.0010503703794909496,True,True,True
behaviour_core,standard,6,3,8240.009157897504,0.20170644457794043,455.6599468352039,1.4806110032729363,50,0.025,0.31334926245691946,0.002394569303651022,0.0002191608373543066,True,True,True
behaviour_core,standard,6,4,7235.457193062444,0.18933583665893317,438.12147082959865,1.535576808130406,50,0.025,0.3970452339114632,0.0024810892534401223,-0.0020554214520858522,True,True,True
behaviour_core,standard,6,5,6476.351690277382,0.18447152020313318,425.38550466652276,1.5048652187368021,48,0.024,0.46030641882980633,0.004128808107411532,0.0005234274613357187,True,True,True
behaviour_core,standard,6,6,5881.119220882215,0.18776408472397008,414.92266404797016,1.4477486785002334,48,0.024,0.509906731593149,0.00424882355949703,0.0015549252919935413,True,True,True
behaviour_core,standard,6,7,5431.492577491368,0.18718227098194046,401.70407920540663,1.3795550093143336,48,0.024,0.5473771525366552,0.004546442065861638,0.0018454758161236104,True,True,True
behaviour_core,standard,6,8,5113.904871939502,0.17657814851361578,383.1877942476738,1.3730457685641788,48,0.024,0.5738412606717084,0.004237294595019707,0.0003227912959074527,True,True,True
behaviour_core,standard,6,9,4822.318080716506,0.1782169520668909,370.4329655907438,1.3989200481516968,47,0.0235,0.5981401599402912,0.005651319129430762,0.0011061983886815456,True,True,True
behaviour_core,standard,6,10,4621.82483957764,0.1820117070467361,352.9767060238636,1.3748465572281365,46,0.023,0.6148479300351967,0.005835488603126125,-0.00016970215084603424,True,True,True
behaviour_core,minmax,6,2,248.92901904352516,0.21986827588285685,613.5373457095033,1.6968535256306796,911,0.4555,0.13755491818441198,0.0005782997617480327,0.001769618487564719,True,True,True
behaviour_core,minmax,6,3,215.36619762552033,0.18429593268102593,510.0052058840093,1.610206425528301,594,0.297,0.27152287070768594,0.0009875349089969016,0.002330978677928049,True,True,True
behaviour_core,minmax,6,4,188.96494895594114,0.18820722062767303,480.2701151428717,1.5825219938735011,422,0.211,0.3300673862949495,0.001428114690245474,0.0018975393230736349,True,True,True
behaviour_core,minmax,6,5,170.85280434979546,0.1908136886441755,451.0607521289105,1.5431676910887866,330,0.165,0.3704781255682181,0.00224395994976539,0.00014169758538923452,True,True,True
behaviour_core,minmax,6,6,156.9249732804662,0.181604020650277,428.07748642834395,1.4582747215215708,301,0.1505,0.4280622395374687,0.0027334184185874174,0.00051719633957751,True,True,True
behaviour_core,minmax,6,7,146.07560981627356,0.20079180654039003,407.7019820181034,1.3962919385413268,170,0.085,0.4594637682128681,0.004121548758045168,0.0005625774059156196,True,True,True
behaviour_core,minmax,6,8,135.29894964305828,0.2120307939461692,399.77050658074046,1.2723542063270634,45,0.0225,0.5565799788208184,0.00533984790233594,-0.0005591927084916782,True,True,True
behaviour_core,minmax,6,9,126.0195887255548,0.19659975271529825,393.6936004720936,1.2890251330782876,44,0.022,0.5839347266742917,0.00529963355676627,-0.0006557430617051118,True,True,True
behaviour_core,minmax,6,10,119.3051538804558,0.1955990465720822,381.90323760536023,1.2639454967742303,44,0.022,0.5956959437523741,0.00579810553474653,-0.0011168640071814206,True,True,True
behaviour_core,log_standard,6,2,9443.6510418347,0.19824526596992098,540.8485760208717,1.7858370103417514,908,0.454,0.19872503161482566,0.001072505466606619,0.0036770182980634942,True,True,True
behaviour_core,log_standard,6,3,8131.1275870775025,0.18912265658266658,475.096358153641,1.721379225157177,601,0.3005,0.2962786874452699,0.0018265892601804059,0.0025451044081224814,True,True,True
behaviour_core,log_standard,6,4,7337.903944893969,0.17826569074839507,422.71579622165564,1.5874320753699733,437,0.2185,0.3650043077272371,0.0010781178730971742,0.0022093041759001053,True,True,True
behaviour_core,log_standard,6,5,6697.784392482672,0.17882323822590132,394.8319012949714,1.4692419522847495,77,0.0385,0.4440708320033601,0.004019375356621253,-0.00161194664709055,True,True,True
behaviour_core,log_standard,6,6,6116.821836660882,0.18183250895076217,383.5670735867678,1.3395345709463882,51,0.0255,0.5002468186837586,0.0030857696157485155,-0.0004453169045786655,True,True,True
behaviour_core,log_standard,6,7,5643.134231476156,0.19014198277528976,374.17839558029897,1.3586382176047915,50,0.025,0.526154981833079,0.003569527702771544,0.0001203694935510128,True,True,True
behaviour_core,log_standard,6,8,5263.369057975053,0.18517926768484125,364.22828230093126,1.3452390999254593,50,0.025,0.5496273659350863,0.004655713314875032,0.00029452111701099747,True,True,True
behaviour_core,log_standard,6,9,4928.757212480014,0.19540923651854922,357.06157886562073,1.3346172066104414,50,0.025,0.573653760278963,0.005325469565565376,-0.0003807896356538223,True,True,True
behaviour_core,log_standard,6,10,4662.39339158417,0.19915680082649595,347.98143653249303,1.270557597460059,50,0.025,0.5907389951118576,0.006344144394795743,0.000807668540660829,True,True,True
behaviour_wide,standard,10,2,15355.401075116235,0.21867988222165544,604.3416649634806,1.6515052090948734,916,0.458,0.19357316206286487,0.0008402621338848183,-0.001087862791976098,True,True,True
behaviour_wide,standard,10,3,12490.452643640483,0.22527672777819505,600.3227891913469,1.3282220288453164,42,0.021,0.3020601028774767,0.001544362106061992,-0.0002978246515615708,True,True,True
behaviour_wide,standard,10,4,10362.758928484285,0.2280404101368682,618.7579098387553,1.274469839460123,39,0.0195,0.37365936075307876,0.0021790291865407354,0.0019430446820558472,True,True,True
behaviour_wide,standard,10,5,9048.42929222898,0.22143429048796237,603.6512762708762,1.3017867346068808,39,0.0195,0.4124449339773937,0.002041632271605536,-0.0008485186883041001,True,True,True
behaviour_wide,standard,10,6,8403.467642315534,0.2103391844150709,550.3319940160145,1.3715338087364775,39,0.0195,0.4606841888203452,0.002229001345482169,8.68222107944083e-05,True,True,True
behaviour_wide,standard,10,7,7908.339333046259,0.18491704374211257,507.8748456610995,1.5144712923121573,38,0.019,0.4851750935025927,0.0028202793993688685,3.703072894173032e-05,True,True,True
behaviour_wide,standard,10,8,7435.429046764781,0.18534777609672132,480.876774461077,1.4556951629757107,38,0.019,0.52118357612555,0.0033790983049800014,0.0019509942327177545,True,True,True
behaviour_wide,standard,10,9,7080.398109871841,0.1912167193796899,454.1221934855074,1.4698485528991858,38,0.019,0.5558372576063314,0.004035685112948768,-0.0004864799236064603,True,True,True
behaviour_wide,standard,10,10,6773.010033284926,0.1936185883993449,431.8071926400838,1.482932606801858,38,0.019,0.5836448654485015,0.00475502171987922,-0.000332994458598875,True,True,True
behaviour_wide,minmax,10,2,365.5567892839655,0.19799278294133985,530.1099863690027,1.8252179012217322,959,0.4795,0.18827786139172595,0.00048434599370504014,8.040899455948196e-05,True,True,True
behaviour_wide,minmax,10,3,309.04913955180336,0.18993363521033738,495.9309899748714,1.5951759274879642,559,0.2795,0.2881791484961543,0.0014384033699623103,-0.00017298938229257755,True,True,True
behaviour_wide,minmax,10,4,278.61837406155604,0.16619503087894896,439.2153524464187,1.6408613131460106,418,0.209,0.34392913440878087,0.0021665493149626274,0.001921138704351739,True,True,True
